depth_dome,age_dome,deuterium_dome,temp_dome,depth_vos,age_vos,deiterium_vos,deltaTS,age_composite,CO2_composite
95.7,2346.95,-408.2,0.17,150,5761.52,-438.93,-0.15,8992.99,260.4
96.25,2366.99,-404.3,-2.05,151,5810.24,-439.5,-0.25,9060.17,259.3
96.8,2387.02,-399.6,-1.41,152,5858.96,-439.3,-0.22,9143.01,262
97.35,2407.06,-400.8,-0.63,153,5907.09,-437.1,0.15,9295.31,263.7
97.9,2426.05,-401.5,-0.83,154,5955.22,-435.3,0.45,9361.12,263.8
98.45,2445.04,-407.7,-0.94,155,6002.66,-438.8,-0.13,9436.7,265.2
99,2464.03,-400.5,-1.97,156,6050.1,-442.4,-0.73,9518.06,260.6
99.55,2482.97,-395.8,-0.78,157,6100.11,-439.25,-0.21,9524.44,260.9
100.1,2501.91,-399.7,0,158,6150.12,-436.1,0.32,9555.86,263
100.65,2520.86,-399.6,-0.65,159,6198.02,-439,-0.17,9573.27,263.8
101.2,2538.83,-394.8,-0.63,160,6245.91,-440.2,-0.33,9901.04,264.4
101.75,2556.81,-398.5,0.16,161,6294.64,-437.6,0.09,9992.61,264.2
102.3,2574.79,-390.2,-0.45,162,6343.38,-436.4,0.28,10134.5,264
102.85,2592.54,-396.4,0.92,163,6392.21,-441.3,-0.55,10192.95,263.4
103.4,2610.28,-392.7,-0.11,164,6441.04,-447.5,-1.59,10299.55,265.7
103.95,2628.03,-400.4,0.51,165,6495.09,-444.4,-1.09,10366.56,264.9
104.5,2645.52,-393.5,-0.77,166,6549.13,-439.6,-0.31,10505.55,267.5
105.05,2663,-390.6,0.37,167,6599.44,-441.4,-0.62,10680.48,266.9
105.6,2680.49,-395.2,0.85,168,6649.75,-441.5,-0.65,10801.81,266
106.15,2698.62,-396.9,0.09,169,6698.81,-435.3,0.37,10835.74,265.1
106.7,2716.75,-399.1,-0.19,170,6747.86,-435.2,0.37,10954.48,267.6
107.25,2734.89,-396.9,-0.56,171,6796.38,-439.5,-0.36,11089.62,264.8
107.8,2752.64,-401,-0.2,172,6844.89,-442.3,-0.84,11161.06,264.8
108.35,2770.4,-387.9,-0.88,173,6897.94,-444.9,-1.28,11185.87,265
108.9,2788.15,-390.3,1.29,174,6950.98,-444,-1.14,11200.58,265.3
109.45,2804.98,-390.8,0.89,175,7003.22,-440.5,-0.58,11256.57,264.4
110,2821.82,-390.2,0.81,176,7055.46,-440.5,-0.59,11316.98,264.1
110.55,2838.65,-395.6,0.91,177,7107.61,-443.2,-1.05,11339.37,264.81
111.1,2855.31,-387.7,0.01,178,7159.75,-444,-1.2,11383.16,264.84
111.65,2871.98,-388.9,1.32,179,7212.32,-440.5,-0.63,11399.86,268.16
112.2,2888.64,-388.9,1.12,180,7264.9,-436.5,0.02,11417.45,264.48
112.75,2906.75,-395.4,1.12,181,7313.82,-436.8,-0.04,11435.93,270.14
113.3,2924.86,-399.5,0.04,182,7362.73,-437.1,-0.11,11453.06,268.87
113.85,2942.97,-401.7,-0.64,183,7412.45,-438.1,-0.29,11472.8,269.1
114.4,2961.05,-392.2,-1,184,7462.16,-441.2,-0.81,11490.45,267.17
114.95,2979.12,-393.9,0.57,185,7514.02,-439.7,-0.58,11507.23,267.66
115.5,2997.2,-397.7,0.29,186,7565.87,-436,0.02,11523.93,269.51
116.05,3016.21,-401.1,-0.34,187,7614.94,-436.2,-0.03,11543.6,266.9
116.6,3035.23,-395.7,-0.91,188,7664,-433.1,0.48,11559.61,262.74
117.15,3054.25,-398.7,-0.01,189,7712.22,-436,-0.02,11576.41,267.09
117.7,3072.57,-395,-0.51,190,7760.44,-435.7,0.02,11592.24,260.7
118.25,3090.88,-394.7,0.1,191,7809.71,-436,-0.04,11611.31,261.3
118.8,3109.2,-395.8,0.15,192,7858.99,-440,-0.72,11628.97,266.22
119.35,3127.06,-391.8,-0.03,193,7910.93,-439,-0.57,11647.92,257.13
120.45,3162.77,-387.9,0.63,194,7962.88,-440.9,-0.9,11664.54,247.55
121,3181.62,-404.4,0.95,195,8016.05,-441,-0.93,11682.82,254.62
121.55,3200.48,-401.1,1.27,196,8069.23,-439.5,-0.69,11701.44,253.99
122.1,3219.34,-403.4,-1.46,197,8121.16,-438.5,-0.54,11719.72,256.04
122.65,3239.55,-391.8,-0.91,198,8173.09,-439,-0.64,11740.65,255.89
123.2,3259.75,-400.5,-1.3,199,8223.17,-433.3,0.3,11759.21,258.74
123.75,3279.95,-406.2,0.62,200,8273.26,-422.6,2.06,11780.72,258.25
124.3,3299.56,-392.7,-0.82,201,8317.57,-431.35,0.59,11802.79,258.53
124.85,3319.16,-400,-1.76,202,8361.88,-440.1,-0.87,11820.5,257.17
125.4,3338.77,-401.9,0.47,203,8414.84,-439.5,-0.78,11843.33,254.31
125.95,3358.11,-391.3,-0.74,204,8467.79,-438,-0.55,11863.12,253.63
126.5,3377.46,-399.8,-1.05,205,8518.84,-435.9,-0.21,11883.17,251.56
127.05,3396.81,-404.2,0.7,206,8569.88,-436.1,-0.26,11904.91,255.9
127.6,3416.74,-395.6,-0.71,207,8620.96,-437.6,-0.52,11926.96,258.57
128.15,3436.66,-397.2,-1.44,208,8672.04,-438.3,-0.65,11948.09,248.92
128.7,3456.58,-398.2,-0.01,209,8724.3,-438.4,-0.68,11969.55,253.99
129.25,3475.97,-396.6,-0.28,210,8776.55,-438.6,-0.73,11990.69,255.39
129.8,3495.35,-395.6,-0.44,211,8828.7,-437.5,-0.56,12015.9,247.85
130.35,3514.74,-392.7,-0.18,212,8880.84,-432,0.34,12037.32,248.41
130.9,3533.36,-401.8,-0.02,213,8929.35,-433.2,0.13,12058.8,253.1
131.45,3551.97,-387.3,0.46,214,8977.85,-438.8,-0.81,12079.85,251.03
132,3570.59,-394.6,-1.04,215,9030.08,-437,-0.53,12105.25,255.66
132.55,3589.51,-397.2,1.35,216,9082.3,-437,-0.54,12124.58,253.02
133.1,3608.43,-394.5,0.15,217,9134.67,-439,-0.88,12146.5,251.14
133.65,3627.34,-399.5,-0.29,218,9187.03,-436.5,-0.48,12168.48,251.42
134.2,3645.76,-389.9,0.16,219,9238.23,-436,-0.41,12190.41,250.97
134.75,3664.17,-390.8,-0.67,220,9289.42,-437.1,-0.6,12211.34,249.65
135.3,3682.58,-394.4,0.92,221,9341.06,-436.5,-0.51,12232.92,249.23
135.85,3700.73,-391.7,0.77,222,9392.7,-434.1,-0.13,12256.48,248.95
136.4,3718.87,-389.2,0.17,223,9441.72,-431.7,0.26,12280.77,249.38
136.95,3737.02,-401.6,0.62,224,9490.75,-433,0.03,12301.04,248.92
137.5,3754.99,-387.2,1.03,225,9540.73,-435.5,-0.39,12321.28,250.73
138.05,3772.97,-387.8,-1.02,226,9590.72,-438,-0.82,12343.12,246.97
138.6,3790.94,-404.9,1.36,227,9643.1,-437.2,-0.7,12365.28,244.31
139.15,3810.03,-388.9,1.26,228,9695.49,-433.9,-0.16,12388.31,243
139.7,3829.11,-394.9,-1.57,229,9745.32,-433.8,-0.16,12409.38,246.4
140.25,3848.2,-393.8,1.07,230,9795.15,-430.2,0.43,12431.93,247.67
140.8,3867.58,-399.6,0.08,231,9842.43,-429.6,0.51,12454.82,245.83
141.35,3886.96,-400.9,0.26,232,9889.71,-435.4,-0.46,12475.39,246.18
141.9,3906.34,-391,-0.7,233,9941.42,-437.4,-0.8,12495.84,244.42
142.45,3925.69,-396.1,-0.92,234,9993.12,-437.6,-0.85,12521.35,246.74
