"","Eucalyptus.sp.","A.laxifolia","A.cupressoides","D.archeri","M.tetragona","P.hookeriana","N.cunninghamii","E.serpyllifolia","R.scoparia","B.rubioides","M.dealbata","L.juniperina","O.acicularis","O.revoluta","R.sprengeloides","C.nitida","S.incarnata","T.cunninghamii","Cyathodes","L.lanigerum","L.rupestre","Andreaea.sp.","B.mossmaniana","B.pendula.affinis","B.rutabulum.paradoxum","Bryaceae","D.microcarpum","Dicranoloma.sp.","Dicranaceae","D.cylindricarpum.difficile","Fissidens.sp.","Entosthodon.sp.","Grimmiaceae","H.chrysogaster.cupressiforme","H.comosum","H.didictyon","Lembophyllaceae","Weymouthia.sp.","L.inclinans","Campylopus.sp.","T.pumilum","L.gaudichaudii","Orthotrichaceae","P.acicularis","H.alaris","R.purpurascens","R.novaehollandiae","Pyrrhobryum.sp.","B.robusta","Sphagnum.sp.","T.furfurosa","Leptoscyphus.sp."
"57",0,0.0353356890459364,0.282685512367491,0.00706713780918728,0.00353356890459364,0,0.176678445229682,0.0212014134275618,0.00706713780918728,0,0,0.00706713780918728,0,0,0,0,0.00706713780918728,0.00353356890459364,0,0,0,0.00353356890459364,0,0.0247349823321555,0,0,0.0176678445229682,0.00706713780918728,0.0141342756183746,0.0282685512367491,0.0918727915194346,0,0,0.0212014134275618,0,0.00706713780918728,0.0530035335689046,0,0.00706713780918728,0,0,0.0530035335689046,0,0.0212014134275618,0,0,0.0247349823321555,0,0,0,0,0.0742049469964664
"58",0,0,0,0,0,0,0.0869565217391304,0.0289855072463768,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0.0144927536231884,0.0289855072463768,0,0,0.0579710144927536,0.0289855072463768,0,0,0.376811594202899,0,0,0.0869565217391304,0.0144927536231884,0,0,0,0,0,0.0144927536231884,0.072463768115942,0.0144927536231884,0,0,0.0289855072463768,0,0,0.0144927536231884,0,0,0.115942028985507
"59",0,0,0.0735294117647059,0,0.0147058823529412,0,0.0294117647058824,0.0441176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147058823529412,0,0,0,0.382352941176471,0,0.0294117647058824,0.0294117647058824,0.0441176470588235,0,0.102941176470588,0.0147058823529412,0,0.102941176470588,0.0147058823529412,0,0.0441176470588235,0,0,0,0,0,0,0,0,0.0588235294117647
"60",0,0,0,0.0384615384615385,0,0,0.0769230769230769,0.115384615384615,0.0384615384615385,0.0769230769230769,0,0.0384615384615385,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0.0769230769230769,0,0,0.0769230769230769,0,0,0,0.153846153846154,0,0.0769230769230769,0,0,0,0,0,0,0.0769230769230769,0.0384615384615385,0.0384615384615385,0,0,0,0,0,0,0,0,0,0.0384615384615385
"61",0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0,0,0,0.0833333333333333,0,0,0.0138888888888889,0.166666666666667,0.138888888888889,0,0.347222222222222,0,0,0,0.138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694444444444444
"62",0,0,0,0,0,0,0.0645161290322581,0.0483870967741935,0.0161290322580645,0,0,0,0,0.0967741935483871,0,0,0,0,0,0,0,0.0161290322580645,0,0.209677419354839,0,0,0.0161290322580645,0.354838709677419,0,0,0.0483870967741935,0,0,0.032258064516129,0,0,0,0,0,0,0,0.0483870967741935,0,0.0161290322580645,0,0.0161290322580645,0,0,0.0161290322580645,0,0,0
"63",0,0,0.407894736842105,0.447368421052632,0,0,0,0.0789473684210526,0,0,0,0,0,0,0.0131578947368421,0,0,0,0,0,0,0,0,0.0131578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131578947368421,0,0,0.0263157894736842,0,0,0,0,0
"64",0,0,0.133333333333333,0.32,0,0,0,0.0133333333333333,0,0,0,0,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0,0,0,0,0,0,0.506666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",0,0,0,0.644444444444444,0,0.0666666666666667,0,0.0666666666666667,0.0444444444444444,0,0,0,0,0,0,0,0.0444444444444444,0,0,0,0,0.0444444444444444,0,0.0222222222222222,0,0.0222222222222222,0,0.0222222222222222,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0.161290322580645,0.0645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387096774193548,0,0.032258064516129,0,0.32258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0
